USAState|TotalCases|NewCases|TotalDeaths|NewDeaths|TotalRecovered|ActiveCases|Source|Sys Date|Last updated
29|Arkansas|308|28|2|NA|NA|295|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
30|Minnesota|287|NA|1|NA|NA|164|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
31|Oregon|266|NA|10|2|NA|256|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
32|District Of Columbia|231|NA|3|NA|NA|228|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
33|Kentucky|198|NA|5|NA|NA|191|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
34|Oklahoma|164|NA|5|NA|NA|158|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
35|Iowa|145|NA|1|NA|NA|144|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
36|Maine|142|NA|NA|NA|NA|139|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
37|New Hampshire|137|NA|1|NA|NA|136|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
38|Rhode Island|132|NA|NA|NA|NA|132|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
39|Kansas|126|NA|3|NA|NA|123|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
40|Vermont|123|NA|8|NA|NA|115|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
41|Idaho|123|32|NA|NA|NA|123|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
42|Delaware|119|NA|NA|NA|NA|119|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
43|New Mexico|112|NA|1|NA|NA|111|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
44|Hawaii|95|NA|1|NA|NA|94|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
45|Nebraska|64|NA|NA|NA|NA|64|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
46|Alaska|59|17|NA|NA|NA|59|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
47|Montana|53|NA|NA|NA|NA|53|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
48|West Virginia|52|NA|NA|NA|NA|52|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
49|Wyoming|49|NA|NA|NA|NA|49|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
50|North Dakota|45|NA|NA|NA|NA|42|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
51|South Dakota|41|NA|1|NA|NA|27|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
52|Guam|45|8|1|NA|NA|44|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
53|Puerto Rico|64|13|2|NA|NA|61|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
54|United States Virgin Islands|17|NA|NA|NA|NA|17|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
55|Wuhan Repatriated|3|NA|NA|NA|NA|3|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
56|Diamond Princess Cruise|46|NA|NA|NA|NA|46|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
57|Total:|68802|591|1037|10|NA|67337|NA|2020-03-26 09:18:05|March 26, 2020, 13:16 GMT
1|New York|38977|NA|466|NA|NA|36994|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
2|New Jersey|6876|NA|81|NA|NA|6795|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
3|California|4044|29|83|1|NA|3949|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
4|Washington|3207|NA|147|NA|NA|2936|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
5|Michigan|2856|NA|60|NA|NA|2791|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
6|Illinois|2538|NA|26|NA|NA|2510|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
7|Florida|2484|NA|29|NA|NA|2455|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
8|Massachusetts|2417|NA|25|NA|NA|2391|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
9|Louisiana|2305|NA|83|NA|NA|2222|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
10|Pennsylvania|1718|31|16|NA|NA|1702|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
11|Georgia|1643|NA|56|NA|NA|1587|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
12|Texas|1588|NA|20|NA|NA|1557|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
13|Colorado|1430|NA|24|NA|NA|1406|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
14|Tennessee|1098|NA|3|NA|NA|1095|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
15|Connecticut|1012|NA|21|NA|NA|991|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
16|Ohio|867|NA|15|NA|NA|852|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
17|North Carolina|829|NA|2|NA|NA|827|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
18|Wisconsin|707|NA|10|NA|NA|695|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
19|Indiana|645|NA|17|NA|NA|628|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
20|Maryland|580|NA|4|NA|NA|572|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
21|Alabama|531|NA|1|NA|NA|530|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
22|Arizona|508|NA|8|NA|NA|497|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
23|Missouri|502|NA|8|NA|NA|492|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
24|Mississippi|485|NA|5|NA|NA|480|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
25|Virginia|460|NA|13|NA|NA|445|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
26|South Carolina|456|NA|9|NA|NA|447|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
27|Nevada|420|NA|10|NA|NA|410|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
28|Utah|402|NA|1|NA|NA|401|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
29|Minnesota|346|NA|2|NA|NA|210|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
30|Arkansas|335|NA|2|NA|NA|320|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
31|Oregon|316|NA|11|NA|NA|305|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
32|District Of Columbia|267|NA|3|NA|NA|264|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
33|Oklahoma|250|NA|7|NA|NA|242|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
34|Kentucky|248|NA|5|NA|NA|241|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
35|Idaho|189|NA|3|NA|NA|186|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
36|Iowa|180|NA|1|NA|NA|179|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
37|Kansas|168|NA|3|NA|NA|165|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
38|Rhode Island|165|NA|NA|NA|NA|165|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
39|Vermont|158|NA|9|NA|NA|149|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
40|New Hampshire|158|NA|1|NA|NA|157|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
41|Maine|155|NA|NA|NA|NA|139|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
42|New Mexico|136|NA|1|NA|NA|135|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
43|Delaware|130|NA|1|NA|NA|129|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
44|Hawaii|106|NA|NA|NA|NA|106|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
45|Montana|90|19|1|1|NA|89|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
46|West Virginia|76|NA|NA|NA|NA|76|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
47|Nebraska|68|NA|NA|NA|NA|68|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
48|Alaska|59|NA|NA|NA|NA|59|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
49|Wyoming|56|NA|NA|NA|NA|56|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
50|North Dakota|52|NA|NA|NA|NA|49|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
51|South Dakota|46|NA|1|NA|NA|32|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
52|Guam|45|NA|1|NA|NA|44|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
53|Puerto Rico|70|6|2|NA|NA|67|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
54|United States Virgin Islands|17|NA|NA|NA|NA|17|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
55|Wuhan Repatriated|3|NA|NA|NA|NA|3|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
56|Diamond Princess Cruise|46|NA|NA|NA|NA|46|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
57|Total:|85520|85|1297|2|NA|82355|NA|2020-03-26 23:01:37|March 27, 2020, 02:59 GMT
1|New York|45934|6957|604|138|NA|43285|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
2|New Jersey|8825|1949|108|27|NA|8717|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
3|California|4791|776|94|12|NA|4679|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
4|Washington|3700|493|175|28|NA|3401|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
5|Michigan|3657|801|92|32|NA|3560|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
6|Massachusetts|3240|823|35|10|NA|3204|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
7|Florida|3198|714|46|17|NA|3152|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
8|Illinois|3026|488|34|8|NA|2990|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
9|Louisiana|2746|441|119|36|NA|2627|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
10|Pennsylvania|2218|531|22|6|NA|2196|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
11|Georgia|2198|555|65|9|NA|2133|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
12|Texas|1881|293|26|6|NA|1844|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
13|Colorado|1734|304|31|7|NA|1703|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
14|Connecticut|1291|279|27|6|NA|1264|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
15|Tennessee|1203|105|6|3|NA|1197|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
16|Ohio|1137|270|19|4|NA|1118|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
17|Indiana|981|336|24|7|NA|957|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
18|North Carolina|880|51|3|1|NA|877|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
19|Wisconsin|842|135|14|4|NA|826|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
20|Maryland|774|194|5|1|NA|744|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
21|Missouri|670|168|9|1|NA|659|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
22|Arizona|665|157|13|5|NA|649|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
23|Alabama|627|96|3|2|NA|624|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
24|Virginia|604|144|14|1|NA|588|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
25|Mississippi|579|94|8|3|NA|571|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
26|South Carolina|539|83|13|4|NA|526|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
27|Nevada|535|115|10|NA|NA|525|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
28|Utah|480|78|2|1|NA|478|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
29|Oregon|414|98|11|NA|NA|403|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
30|Minnesota|398|52|4|2|NA|260|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
31|Arkansas|381|46|3|1|NA|359|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
32|Oklahoma|322|72|8|1|NA|313|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
33|District Of Columbia|304|37|4|1|NA|249|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
34|Kentucky|302|54|8|3|NA|292|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
35|Iowa|235|55|3|2|NA|214|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
36|Idaho|230|41|3|NA|NA|227|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
37|Rhode Island|203|38|NA|NA|NA|203|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
38|Kansas|202|34|4|1|NA|198|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
39|New Mexico|191|55|1|NA|NA|190|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
40|New Hampshire|187|29|2|1|NA|185|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
41|Vermont|184|26|10|1|NA|174|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
42|Maine|168|13|NA|NA|NA|152|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
43|Delaware|165|35|2|1|NA|159|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
44|Montana|121|50|1|1|NA|120|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
45|Hawaii|120|14|NA|NA|NA|120|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
46|West Virginia|96|20|1|1|NA|95|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
47|Nebraska|85|17|NA|NA|NA|85|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
48|Wyoming|73|17|NA|NA|NA|73|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
49|Alaska|69|10|1|1|NA|68|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
50|North Dakota|68|16|1|1|NA|52|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
51|South Dakota|58|12|1|NA|NA|36|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
52|Guam|51|6|1|NA|NA|50|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
53|Puerto Rico|79|15|3|1|NA|75|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
54|United States Virgin Islands|19|2|NA|NA|NA|19|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
55|Wuhan Repatriated|3|NA|NA|NA|NA|3|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
56|Diamond Princess Cruise|46|NA|NA|NA|NA|46|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
57|Total:|103729|18294|1693|398|NA|99514|NA|2020-03-27 21:04:14|March 28, 2020, 00:48 GMT
1|New York|53455|62|883|NA|NA|49846|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
2|New Jersey|11124|NA|140|NA|NA|10984|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
3|California|5659|110|120|1|NA|5518|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
4|Michigan|4650|NA|111|NA|NA|4534|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
5|Washington|4310|NA|189|NA|NA|3997|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
6|Massachusetts|4257|NA|44|NA|NA|4212|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
7|Florida|4038|NA|56|NA|NA|3982|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
8|Illinois|3491|NA|47|NA|NA|3442|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
9|Louisiana|3315|NA|137|NA|NA|3178|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
10|Pennsylvania|2751|NA|34|NA|NA|2717|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
11|Georgia|2446|NA|79|NA|NA|2367|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
12|Texas|2329|NA|30|NA|NA|2288|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
13|Colorado|2061|NA|44|NA|NA|2017|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
14|Connecticut|1524|NA|33|NA|NA|1491|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
15|Tennessee|1512|NA|7|NA|NA|1505|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
16|Ohio|1406|NA|25|NA|NA|1381|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
17|Indiana|1232|NA|31|NA|NA|1201|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
18|North Carolina|1022|NA|4|NA|NA|1018|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
19|Maryland|992|NA|10|5|NA|950|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
20|Wisconsin|989|NA|15|NA|NA|972|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
21|Missouri|838|NA|10|NA|NA|826|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
22|Arizona|773|NA|15|NA|NA|755|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
23|Virginia|739|NA|17|NA|NA|720|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
24|Alabama|702|NA|4|NA|NA|698|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
25|Mississippi|663|NA|13|NA|NA|650|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
26|South Carolina|660|NA|15|NA|NA|645|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
27|Nevada|621|NA|14|NA|NA|607|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
28|Utah|602|NA|2|NA|NA|600|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
29|Oregon|479|NA|13|NA|NA|466|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
30|Minnesota|441|NA|5|NA|NA|302|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
31|Arkansas|409|NA|5|NA|NA|378|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
32|Kentucky|394|NA|8|NA|NA|384|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
33|Oklahoma|377|NA|15|NA|NA|361|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
34|District Of Columbia|342|NA|4|NA|NA|287|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
35|Iowa|298|NA|3|NA|NA|277|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
36|Kansas|261|NA|5|NA|NA|256|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
37|Idaho|261|NA|4|NA|NA|257|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
38|Rhode Island|239|NA|2|NA|NA|237|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
39|Delaware|214|NA|5|NA|NA|200|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
40|New Hampshire|214|NA|2|NA|NA|212|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
41|Vermont|211|NA|12|NA|NA|199|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
42|Maine|211|NA|1|NA|NA|194|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
43|New Mexico|208|NA|2|NA|NA|206|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
44|Hawaii|151|NA|NA|NA|NA|151|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
45|Montana|129|NA|1|NA|NA|128|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
46|West Virginia|113|NA|1|NA|NA|112|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
47|Nebraska|96|NA|2|NA|NA|94|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
48|Alaska|85|NA|2|NA|NA|83|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
49|Wyoming|84|NA|NA|NA|NA|84|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
50|North Dakota|83|NA|1|NA|NA|66|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
51|South Dakota|68|NA|1|NA|NA|41|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
52|Guam|51|NA|1|NA|NA|50|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
53|Puerto Rico|100|NA|3|NA|NA|96|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
54|United States Virgin Islands|21|NA|NA|NA|NA|21|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
55|Wuhan Repatriated|3|NA|NA|NA|NA|3|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
56|Diamond Princess Cruise|46|NA|NA|NA|NA|46|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
57|Total:|123750|172|2227|6|NA|118292|NA|2020-03-28 23:49:04|March 29, 2020, 02:04 GMT
1|New York|53455|62|883|NA|NA|49846|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
2|New Jersey|11124|NA|140|NA|NA|10984|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
3|California|5683|134|121|2|NA|5541|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
4|Michigan|4650|NA|111|NA|NA|4534|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
5|Washington|4310|NA|189|NA|NA|3997|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
6|Massachusetts|4257|NA|44|NA|NA|4212|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
7|Florida|4038|NA|56|NA|NA|3982|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
8|Illinois|3491|NA|47|NA|NA|3442|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
9|Louisiana|3315|NA|137|NA|NA|3178|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
10|Pennsylvania|2751|NA|34|NA|NA|2717|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
11|Georgia|2446|NA|79|NA|NA|2367|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
12|Texas|2329|NA|30|NA|NA|2288|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
13|Colorado|2061|NA|44|NA|NA|2017|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
14|Connecticut|1524|NA|33|NA|NA|1491|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
15|Tennessee|1512|NA|7|NA|NA|1505|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
16|Ohio|1406|NA|25|NA|NA|1381|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
17|Indiana|1232|NA|31|NA|NA|1201|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
18|North Carolina|1022|NA|4|NA|NA|1018|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
19|Maryland|992|NA|10|5|NA|950|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
20|Wisconsin|989|NA|15|NA|NA|972|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
21|Missouri|838|NA|10|NA|NA|826|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
22|Arizona|773|NA|15|NA|NA|755|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
23|Virginia|739|NA|17|NA|NA|720|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
24|Alabama|702|NA|4|NA|NA|698|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
25|Mississippi|663|NA|13|NA|NA|650|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
26|South Carolina|660|NA|15|NA|NA|645|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
27|Nevada|621|NA|14|NA|NA|607|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
28|Utah|602|NA|2|NA|NA|600|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
29|Oregon|479|NA|13|NA|NA|466|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
30|Minnesota|441|NA|5|NA|NA|302|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
31|Arkansas|409|NA|5|NA|NA|378|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
32|Kentucky|394|NA|8|NA|NA|384|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
33|Oklahoma|377|NA|15|NA|NA|361|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
34|District Of Columbia|342|NA|5|1|NA|286|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
35|Iowa|298|NA|3|NA|NA|277|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
36|Kansas|261|NA|5|NA|NA|256|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
37|Idaho|261|NA|4|NA|NA|257|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
38|Rhode Island|239|NA|2|NA|NA|237|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
39|Delaware|214|NA|5|NA|NA|200|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
40|New Hampshire|214|NA|2|NA|NA|212|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
41|Vermont|211|NA|12|NA|NA|199|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
42|Maine|211|NA|1|NA|NA|194|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
43|New Mexico|208|NA|2|NA|NA|206|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
44|Hawaii|151|NA|NA|NA|NA|151|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
45|Montana|129|NA|1|NA|NA|128|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
46|West Virginia|113|NA|1|NA|NA|112|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
47|Nebraska|96|NA|2|NA|NA|94|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
48|Alaska|85|NA|2|NA|NA|83|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
49|Wyoming|84|NA|NA|NA|NA|84|NA|2020-03-29 09:22:51|March 29, 2020, 13:20 GMT
