Thailand	147		1		35	111	1	2.1		"March 17, 2020, 03:35 GMT"
Philippines	142		12		5	125	1	1.3		"March 17, 2020, 03:35 GMT"
Indonesia	134		5		8	121		0.5		"March 17, 2020, 03:35 GMT"
Iraq	133		10		32	91		3.3		"March 17, 2020, 03:35 GMT"
Saudi Arabia	133				6	127		3.8		"March 17, 2020, 03:35 GMT"
India	129		2		13	114		0.1		"March 17, 2020, 03:35 GMT"
Kuwait	123				9	114	4	28.8		"March 17, 2020, 03:35 GMT"
San Marino	109		7		4	98	11			"March 17, 2020, 03:35 GMT"
Lebanon	109		3		3	103	3	16		"March 17, 2020, 03:35 GMT"
UAE	98				23	75	2	9.9		"March 17, 2020, 03:35 GMT"
Russia	93				8	85		0.6		"March 17, 2020, 03:35 GMT"
Peru	86				1	85	8	2.6		"March 17, 2020, 03:35 GMT"
Luxembourg	81		1			80	10			"March 17, 2020, 03:35 GMT"
Slovakia	72					72		13.2		"March 17, 2020, 03:35 GMT"
Panama	69		1			68		16		"March 17, 2020, 03:35 GMT"
Taiwan	67		1		20	46		2.8		"March 17, 2020, 03:35 GMT"
Argentina	65		2		3	60	1	1.4		"March 17, 2020, 03:35 GMT"
South Africa	64					64		1.1		"March 17, 2020, 03:35 GMT"
Bulgaria	62		2			60		8.9		"March 17, 2020, 03:35 GMT"
Vietnam	61				16	45		0.6		"March 17, 2020, 03:35 GMT"
Algeria	60		4		10	46		1.4		"March 17, 2020, 03:35 GMT"
Ecuador	58		2			56	2	3.3		"March 17, 2020, 03:35 GMT"
Croatia	57				3	54		13.9		"March 17, 2020, 03:35 GMT"
Serbia	57				1	56	2	6.5		"March 17, 2020, 03:35 GMT"
Brunei	54					54	1			"March 17, 2020, 03:35 GMT"
Colombia	54				1	53		1.1		"March 17, 2020, 03:35 GMT"
Mexico	53				4	49	1	0.4		"March 17, 2020, 03:35 GMT"
Armenia	52				1	51	2	17.5		"March 17, 2020, 03:35 GMT"
Albania	51		1			50	2	17.7		"March 17, 2020, 03:35 GMT"
Turkey	47					47		0.6		"March 17, 2020, 03:35 GMT"
Cyprus	46					46	1	38.1		"March 17, 2020, 03:35 GMT"
Costa Rica	41					41	3	8		"March 17, 2020, 03:35 GMT"
Hungary	39		1		2	36		4		"March 17, 2020, 03:35 GMT"
Palestine	39					39		7.6		"March 17, 2020, 03:35 GMT"
Morocco	38		1		1	36	1	1		"March 17, 2020, 03:35 GMT"
Belarus	36				3	33		3.8		"March 17, 2020, 03:35 GMT"
Latvia	34				1	33		18		"March 17, 2020, 03:35 GMT"
Georgia	33				1	32	1	8.3		"March 17, 2020, 03:35 GMT"
Malta	30				2	28				"March 17, 2020, 03:35 GMT"
Jordan	29				1	28		2.8		"March 17, 2020, 03:35 GMT"
Moldova	29				1	28	1	7.2		"March 17, 2020, 03:35 GMT"
Uruguay	29					29		8.3		"March 17, 2020, 03:35 GMT"
Sri Lanka	28				1	27		1.3		"March 17, 2020, 03:35 GMT"
Senegal	27				2	25		1.6		"March 17, 2020, 03:35 GMT"
Azerbaijan	25		1		6	18		2.5		"March 17, 2020, 03:35 GMT"
Bosnia and Herzegovina	25				2	23		7.6		"March 17, 2020, 03:35 GMT"
North Macedonia	24				1	23	1	11.5		"March 17, 2020, 03:35 GMT"
Oman	24				9	15		4.7		"March 17, 2020, 03:35 GMT"
Dominican Republic	21		1			20		1.9		"March 17, 2020, 03:35 GMT"
Afghanistan	21				1	20		0.5		"March 17, 2020, 03:35 GMT"
Tunisia	20					20	2	1.7		"March 17, 2020, 03:35 GMT"
Lithuania	18				1	17		6.6		"March 17, 2020, 03:35 GMT"
Faeroe Islands	18					18				"March 17, 2020, 03:35 GMT"
Venezuela	17					17		0.6		"March 17, 2020, 03:35 GMT"
Martinique	15		1			14				"March 17, 2020, 03:35 GMT"
Burkina Faso	15					15		0.7		"March 17, 2020, 03:35 GMT"
Jamaica	15				2	13		5.1		"March 17, 2020, 03:35 GMT"
Andorra	14					14				"March 17, 2020, 03:35 GMT"
Maldives	13					13				"March 17, 2020, 03:35 GMT"
Cambodia	12				1	11		0.7		"March 17, 2020, 03:35 GMT"
Macao	12				10	2				"March 17, 2020, 03:35 GMT"
New Zealand	11	3				11		2.3		"March 17, 2020, 03:35 GMT"
Bolivia	11					11		0.9		"March 17, 2020, 03:35 GMT"
French Guiana	11					11				"March 17, 2020, 03:35 GMT"
Kazakhstan	10					10		0.5		"March 17, 2020, 03:35 GMT"
Monaco	9					9				"March 17, 2020, 03:35 GMT"
Réunion	9					9				"March 17, 2020, 03:35 GMT"
Guatemala	8		1			7		0.4		"March 17, 2020, 03:35 GMT"
Bangladesh	8				3	5				"March 17, 2020, 03:35 GMT"
Paraguay	8					8	1	1.1		"March 17, 2020, 03:35 GMT"
Uzbekistan	8					8		0.2		"March 17, 2020, 03:35 GMT"
Guyana	7		1			6				"March 17, 2020, 03:35 GMT"
Ukraine	7		1			6		0.2		"March 17, 2020, 03:35 GMT"
Liechtenstein	7					7				"March 17, 2020, 03:35 GMT"
Rwanda	7					7		0.5		"March 17, 2020, 03:35 GMT"
Channel Islands	6					6				"March 17, 2020, 03:35 GMT"
Ghana	6					6		0.2		"March 17, 2020, 03:35 GMT"
Guadeloupe	6					6				"March 17, 2020, 03:35 GMT"
Honduras	6					6		0.6		"March 17, 2020, 03:35 GMT"
Cameroon	5					5		0.2		"March 17, 2020, 03:35 GMT"
Ethiopia	5					5				"March 17, 2020, 03:35 GMT"
Puerto Rico	5					5		1.7		"March 17, 2020, 03:35 GMT"
Ivory Coast	4					4		0.2		"March 17, 2020, 03:35 GMT"
Cuba	4					4		0.4		"March 17, 2020, 03:35 GMT"
Mongolia	4					4		1.2		"March 17, 2020, 03:35 GMT"
Trinidad and Tobago	4					4		2.9		"March 17, 2020, 03:35 GMT"
DRC	3					3				"March 17, 2020, 03:35 GMT"
French Polynesia	3					3				"March 17, 2020, 03:35 GMT"
Gibraltar	3				1	2				"March 17, 2020, 03:35 GMT"
Guam	3					3				"March 17, 2020, 03:35 GMT"
Kenya	3					3		0.1		"March 17, 2020, 03:35 GMT"
St. Barth	3					3				"March 17, 2020, 03:35 GMT"
Seychelles	3					3				"March 17, 2020, 03:35 GMT"
Nigeria	2				1	1				"March 17, 2020, 03:35 GMT"
Aruba	2					2				"March 17, 2020, 03:35 GMT"
Curaçao	2					2				"March 17, 2020, 03:35 GMT"
Namibia	2					2		0.8		"March 17, 2020, 03:35 GMT"
Saint Lucia	2					2				"March 17, 2020, 03:35 GMT"
Saint Martin	2					2				"March 17, 2020, 03:35 GMT"
Cayman Islands	1		1			0				"March 17, 2020, 03:35 GMT"
Sudan	1		1			0				"March 17, 2020, 03:35 GMT"
Nepal	1				1	0				"March 17, 2020, 03:35 GMT"
Antigua and Barbuda	1					1				"March 17, 2020, 03:35 GMT"
Bahamas	1					1				"March 17, 2020, 03:35 GMT"
Benin	1					1		0.1		"March 17, 2020, 03:35 GMT"
Bhutan	1					1				"March 17, 2020, 03:35 GMT"
CAR	1					1		0.2		"March 17, 2020, 03:35 GMT"
Congo	1					1		0.2		"March 17, 2020, 03:35 GMT"
Equatorial Guinea	1					1		0.7		"March 17, 2020, 03:35 GMT"
Gabon	1					1		0.4		"March 17, 2020, 03:35 GMT"
Greenland	1					1				"March 17, 2020, 03:35 GMT"
Guinea	1					1		0.1		"March 17, 2020, 03:35 GMT"
Vatican City	1					1				"March 17, 2020, 03:35 GMT"
Liberia	1					1		0.2		"March 17, 2020, 03:35 GMT"
